text,label
0'or%0b!@<@+||%0b!%0b1=+(not%0b{x%0b(select%0b1)}=1)%0bor',1
0'+||%0bnot%0bfalse>(not~0)+or'0,0
0'or+@<@.%0b||+not+{x%0b(select+1)}=1=+(!+{x+(select+1)}=1)%0bor',1
0%27or+!@<@.%0b||+!%0b{`if`+1}=1=%0b(!+{`if`+1}=1)%0b||%27,1
0%27<@!=1.+||%0b~+{`if`%0b1}=1=+(~+{x+(select%0b1)}=1)--+,1
0%27<@!=1.+or+{a%0b1}=1=+(not+false)+||%27,1
0%27<@=.1%0bor%0b%7e+true=%0b(%7e%0b{x+(select+1)}=1)--+,1
7%0b||%0b~+{x%0b(select+1)}=1>(!%0b{x%0b(select+1)}=1)--+,0
0'||%0b!@<@%0bor%0b!+{a+1}=1=+(not+{x+(select%0b1)}=1)+or',1
0'<@=.1%0bor+%7e%0b{x+(select%0b1)}=1=%0b(~%0b{x+(select+1)}=1)+or',1
0%27<@=.1%0b||%0b~%0b{x+(select%0b1)}=1-(!%0b{a+1}=1)+||%27,1
0'||%0b@<@.+||+!~false<(true)+or',1
0'or+!@<@+or%0b!%0btrue<(%7e%0b{x%0b(select%0b1)}=1)%0b||',0
9%0b||%0b%7e+{x%0b(select%0b1)}=1-(!%0b{x%0b(select+1)}=1)--%0b,1
2%0b||+not%0b{x+(select%0b1)}=1<(!+0)%0b,0
7+or%0b~%0b{`if`%0b1}=1=%0b(%7e%0b{`if`+1}=1)%23,1
4%27%0bor%0btrue+like%0b{a%0b1}=1+or%270,1
0%27<@=.1+||+!+{a+1}=1=+(not+{x%0b(select%0b1)}=1)+or%27,1
0'or%0b!@<@%0bor+not%0b{x%0b(select%0b1)}=1<(~%0b{a+1}=1)+or',0
0'<@!=1+or%0b~%0b{x+(select%0b1)}=1=%0b(~%0b1)%0b||',1
0%27or%0b@<@%0bor+!+{x+(select+1)}=1<({x%0b(select%0b1)}=1)%0b||%27,0
0'or+!@<@+or%0b!%0b0>(not+{a+1}=1)+||',0
0'<@!=1+or+%7e%0b{x%0b(select+1)}=1=+(%7e%0btrue)--%0b,1
0'or+1<@.+||+~+{x%0b(select+1)}=1=%0b(%7e+{a+1}=1)%0b||',1
0'or%0b1<@.%0bor+!+{x%0b(select+1)}=1<(%7e+0)+||',1
0%27||+!@<@%0b||%0b!%0b{x+(select+1)}=1%3C(~%0b{x+(select+1)}=1)%0bor%27,0
0'or+@<@.%0b||+~+false>(not+1)+||',0
0'or%0b@<@.+||%0b%7e+{x+(select+1)}=1=+(%7e%0b1)+or',1
0'<@=.1%0b||%0bnot%7e0<(not%0bfalse)%0bor',1
0'||%0b1<@.%0bor%0bnot%0b{x+(select+1)}=1=%0b(!+{`if`+1}=1)+||',1
0'or%0b!@<@.+or+{x+(select%0b1)}=1>(!+1)%0b||',0
0%27||%0b1<@.+or+not+{`if`%0b1}=1=+(!%0btrue)%0bor%27,1
3'+||%0bnot%0b{`if`%0b1}=1=%0b(not+{x%0b(select%0b1)}=1)%0bor'0,1
0'||+@<@.+||+not%0bfalse=+(!%0b0)%0bor',1
0%27<@=1+or%0b~+{`if`%0b1}=1=+(~%0b{a+1}=1)+||%27,1
9%0bor+~%0b{`if`%0b1}=1=+(%7e%0bfalse)%0b,1
0'<@=.1%0b||+%7e%0b1-(not%0b{a+1}=1)%0bor',1
0'or%0b1<@%0bor%0b!~0%3C(~%0bfalse)%0b||',0
0%27<@=1+||+{`if`+1}=1=+(%7e%0b{x%0b(select+1)}=1)+or%27,1
0%27||%0b!@<@%0b||+!+{`if`+1}=1=%0b(not+{`if`%0b1}=1)+or%27,1
0'<@=.1+||%0b~%0b{x%0b(select+1)}=1=+(~%0b{a+1}=1)+||',1
0%27||%0b@<@.%0b||%0b%7e+{`if`+1}=1-(not+true)%0bor%27,1
0%27or+!@<@.+||%0b!+false=%0b(%7e%0b{a%0b1}=1)%0b||%27,1
9%27%0b||%0bnot%0b{x+(select+1)}=1=%0b(!+{x%0b(select%0b1)}=1)%0b||%270,1
4%27+||%0b!%0b{x+(select%0b1)}=1=+(!+{a%0b1}=1)+||%270,1
0%27||+!@<@.%0bor%0b!%0bfalse>(not%0btrue)+||%27,1
0'or%0b1<@.%0bor%0b%7e%0b{`if`+1}=1-(!+1)+or',1
7%27%0bor%0b~+{`if`+1}=1=%0b(~+false)+||%270,1
0'<@=1.+||%0b!%0b1%3C(~%0btrue)%0bor',0
0'||+1<@.%0b||+!+false-(not%0b{`if`+1}=1)%0bor',1
0%27or%0b1<@%0bor%0b~+{`if`%0b1}=1=+(~%0b{`if`+1}=1)%0b||%27,1
0'<@=1+||%0bnot+{a%0b1}=1<(~+{x%0b(select%0b1)}=1)%0bor',1
0'||+@<@.+||%0b~+{x+(select%0b1)}=1=+(%7e+0)+or',1
2'+or+!%0b{a+1}=1<(%7e%0b{x+(select%0b1)}=1)+||'0,0
0'||+!@<@%0bor+%7e%0b{`if`+1}=1>(not+1)%0b||',1
0%27||%0b!@<@+or+{x%0b(select+1)}=1%0blike+{x%0b(select%0b1)}=1+or%27,1
1%0b||+~%0b{x+(select%0b1)}=1=%0b(%7e%0b{a+1}=1)%0b,1
1%27+||+~%0btrue=+(%7e+{x+(select+1)}=1)%0b||%270,1
0%27||%0b!@<@.+or%0b!~0%3C(~%0b{x+(select+1)}=1)%0b||%27,1
0'+||%0b~+true=%0b(%7e%0b{x+(select%0b1)}=1)+||'0,1
0'||+1<@+or%0b~%0b{x%0b(select+1)}=1=+(not%0b0)%0bor',1
0'||+!@<@.+or+%7e+{`if`+1}=1=%0b(%7e+true)%0bor',1
0%27||%0b!@<@%0bor%0b%7e+0=+(%7e%0b{a+1}=1)+||%27,1
0'||%0b!@<@.%0b||%0b%7e%0b{x%0b(select%0b1)}=1-(not+{a%0b1}=1)%0b||',1
0%27||+@<@%0b||%0bnot%7e0%3C(%7e%0b1)+or%27,0
0'<@!=1.%0b||+not%0b{x%0b(select+1)}=1%3C(%7e+true)+or',1
0%27or%0b1<@.+or%0bnot%0b{x%0b(select%0b1)}=1<(%7e+{`if`%0b1}=1)+or%27,1
4+or%0b{x%0b(select+1)}=1>(not+{x+(select+1)}=1)+,0
7%0bor%0b%7e+{`if`+1}=1=+(~+{x%0b(select+1)}=1)--+,1
0'or%0b1<@.+||%0bnot+{x%0b(select+1)}=1%3C(~+false)%0bor',1
0%27or+@<@.%0b||+not%0b{a+1}=1=%0b(!%0b{x+(select+1)}=1)+or%27,1
1%27%0bor+%7e+{a%0b1}=1>(!+{`if`+1}=1)+or%270,0
0'||+1<@.+or%0b!~0%3C(!+0)+or',1
5%27+||%0bnot%0b{x+(select+1)}=1%3C(~%0bfalse)+||%270,0
0%27or+!@<@.+||+~%0b{x%0b(select%0b1)}=1=%0b(~+false)+||%27,1
0'or%0b@<@.%0b||%0b%7e+{x%0b(select+1)}=1=%0b(~%0btrue)%0b||',1
7+||+%7e+{a+1}=1=%0b(~+{x%0b(select%0b1)}=1)+,1
0%27or%0b!@<@.%0bor+~+{x+(select+1)}=1=%0b({x+(select%0b1)}=1)%0bor%27,1
0%0bor%0b!%0b{`if`%0b1}=1=%0b(not+{`if`+1}=1)--%0b,1
7'%0bor%0bnot+{x+(select%0b1)}=1=%0b(!+{x%0b(select%0b1)}=1)%0bor'0,1
0%27<@=1+||+!+1<(~%0btrue)+or%27,1
0'or%0b1<@+or%0b%7e%0b{a+1}=1=%0b(~%0b{x+(select%0b1)}=1)%0bor',1
0'||+@<@%0bor%0b%7e+false=+(%7e%0b{a%0b1}=1)%0b||',1
7%27%0b||%0bnot%0btrue%3C(%7e+{x+(select+1)}=1)%0b||%270,0
6%0b||+!+{a+1}=1<(%7e%0b{x%0b(select+1)}=1)--%0b,0
0'<@!=1.%0b||+%7e%0b{x+(select+1)}=1+is+true%0b||',1
3%27%0b||+%7e+true=%0b(~+true)+or%270,1
0%27||%0b@<@.+or%0b~+1>(!%0b{a+1}=1)+||%27,1
0%27<@=1.+or+!%0b{`if`%0b1}=1<(~+false)--%0b,1
0%27<@!=.1%0bor+~%0b{`if`%0b1}=1>(!%0b{x%0b(select%0b1)}=1)%0bor%27,1
0%27or%0b1<@.+or%0bnot%0b{x%0b(select%0b1)}=1<({x+(select+1)}=1)+||%27,1
0'or%0b@<@.+or%0bnot%0b1=%0b(not%0b{a+1}=1)%0bor',1
0+or%0bnot%0b{a%0b1}=1%3C(!%0bfalse)--+,0
0%27or+@<@.+||+~+0>(not+{x%0b(select%0b1)}=1)+or%27,0
0%27or%0b!@<@.+||+!~false=+(not+{x%0b(select+1)}=1)+||%27,1
0%27or+1<@+or%0b!+{x+(select+1)}=1<(%7e+{`if`%0b1}=1)%0b||%27,0
0'||+!@<@+||+!%0b{`if`%0b1}=1=+(!%0b{x+(select%0b1)}=1)+or',1
9'%0bor+%7e+{x+(select+1)}=1>(not~false)+||'0,0
0%27or%0b!@<@.%0b||+%7e+{x%0b(select+1)}=1=+(!%0b0)+||%27,1
3+or+~+0=%0b(%7e%0b0)%23,1
0'||+!@<@.+||%0bnot%0b{x+(select%0b1)}=1=+(not+{x+(select+1)}=1)%0b||',1
2'+||+%7e%0b{x+(select%0b1)}=1=%0b(%7e%0b{x%0b(select%0b1)}=1)+||'0,1
5'%0bor+~%0b{x%0b(select+1)}=1-(!%7e0)%0bor'0,1
0'<@=1+||+{`if`+1}=1=+(~+1)+or',1
9'%0bor+true%0blike+1%0bor'0,0
0%0b||%0b%7e+{x%0b(select%0b1)}=1=+(%7e%0b{`if`+1}=1)--%0b,1
2%27+||%0b%7e+{x+(select%0b1)}=1-(!+{`if`%0b1}=1)+||%270,0
0'<@!=1+or%0b{x+(select+1)}=1%0blike+{x%0b(select+1)}=1+||',1
0%27or+!@<@+||%0b~+{a%0b1}=1=%0b(%7e+{a%0b1}=1)+or%27,1
0%27or%0b@<@.+||+not+{x+(select+1)}=1<(~%0b1)%0b||%27,1
0'||+@<@+or+not%0b1%3C(%7e+{x%0b(select%0b1)}=1)%0bor',0
0'||+!@<@.%0bor+%7e+true-(!+{x+(select%0b1)}=1)+||',1
0'or%0b@<@+or%0bnot+{`if`%0b1}=1=%0b(not%0b{x+(select+1)}=1)%0bor',1
0%27or%0b1<@+or%0b!%0b{x%0b(select%0b1)}=1<(%7e+false)%0b||%27,0
0%27||+1<@.+or%0b~+{x+(select%0b1)}=1=%0b({x+(select+1)}=1)+||%27,1
6'+or+%7e%0b0=+(%7e%0b{`if`%0b1}=1)%0b||'0,1
0%27<@!=1.+or%0b~%0b{x%0b(select+1)}=1>(!%0b{x+(select%0b1)}=1)%0bor%27,1
0%27||%0b!@<@+or+%7e+true>(!+{x%0b(select%0b1)}=1)%0b||%27,0
0'or+1<@%0b||%0bnot%0bfalse=%0b(not%0bfalse)+or',1
0%27<@!=1+or+!+false>(not%0b{x%0b(select%0b1)}=1)%23,1
0%27or+1<@+||+~%0b1>(not+1)%0b||%27,0
0%27or%0b!@<@+||+~+{x%0b(select%0b1)}=1-(not+{x+(select%0b1)}=1)+||%27,1
0'or%0b@<@%0bor%0bnot+true%3C(%7e+{x%0b(select+1)}=1)+or',0
0%27<@=.1+||+{x%0b(select+1)}=1=%0b(%7e+{`if`+1}=1)%23,1
0'or%0b@<@%0bor%0b~+1>(!%0b{a+1}=1)%0bor',0
0%27<@=1.+||+not%0b{a%0b1}=1<(~%0b{x+(select%0b1)}=1)%23,1
0%27||+!@<@.%0bor+false=%0b(!+{x+(select+1)}=1)%0bor%27,1
0'or+@<@.%0bor%0b{x+(select%0b1)}=1-(not%0b{`if`+1}=1)%0bor',1
0'or%0b1<@%0b||+%7e+{`if`%0b1}=1=+(~%0b{x+(select%0b1)}=1)%0bor',1
0'<@=1+||%0b~+0=%0b(%7e%0bfalse)%0bor',1
5%0bor%0bnot%0btrue%3C(~%0btrue)--%0b,0
3'%0b||%0b!+{`if`%0b1}=1=%0b(not+1)+or'0,1
0%27||+1<@%0bor+~+{a%0b1}=1>(false)%0b||%27,0
8'+or%0b%7e+{x+(select%0b1)}=1=%0b(!+false)%0b||'0,0
0%27%0bor+false%3C(~%0b{x%0b(select%0b1)}=1)%0b||%270,0
0%27||+@<@.%0bor%0b~+true=%0b(~%0b{a+1}=1)+||%27,1
0'<@!=.1+or+!%0b{x%0b(select%0b1)}=1=%0b(not%7e0)--%0b,1
0'<@!=1+||+!%0b{a%0b1}=1%3C(~%0b{x+(select%0b1)}=1)+||',1
0'||%0b1<@+||+!+false>(!+true)+or',0
0+or%0b!+false=%0b(~%0btrue)--%0b,1
0'<@!=1%0b||%0b!%0b{`if`+1}=1=%0b(!%0b{x%0b(select+1)}=1)+or',1
5'%0bor+!+false-(not+{a%0b1}=1)+or'0,0
0%27||+@<@.+or%0b{x+(select%0b1)}=1=+(~+false)%0bor%27,1
6'%0bor+!%0b{a+1}=1<(%7e%0b{x%0b(select+1)}=1)+or'0,0
6'+or%0b~%0b{x+(select+1)}=1=%0b({x%0b(select+1)}=1)+||'0,1
8+or%0b%7e%0b{`if`+1}=1-(!%0btrue)--%0b,1
0%27||+!@<@.+or%0b%7e+{x+(select%0b1)}=1-(false)%0b||%27,1
0'||%0b!@<@+or%0b%7e%0b{`if`%0b1}=1>(not%0b{`if`%0b1}=1)+or',1
0'+or+%7e+{x%0b(select+1)}=1>(not+{a+1}=1)+||'0,0
0'<@!=.1+or+~+{x+(select%0b1)}=1=+(~+true)--%0b,1
0%27or+1<@+or+%7e%0btrue=+(%7e+{x+(select+1)}=1)+||%27,1
0%27||%0b1<@.%0bor%0b~+true=+(~+0)+||%27,1
0%27||%0b@<@.+or%0b~+1=+({x+(select+1)}=1)%0b||%27,1
0%27or+@<@+or%0b%7e%0b{x%0b(select%0b1)}=1>(!%0b{x+(select%0b1)}=1)+||%27,0
0'or%0b1<@%0b||%0b!%0btrue=+(not%7e0)+or',1
0'<@!=.1+or%0b{x%0b(select+1)}=1+like+1+or',1
2'+||+~+{a+1}=1=%0b({x%0b(select%0b1)}=1)%0bor'0,1
0'or+1<@.+||+!%0b{a+1}=1=+(not%0btrue)+or',1
0'or%0b@<@.%0b||%0b~%0b{x+(select%0b1)}=1=+({`if`+1}=1)%0b||',1
0'or+@<@.%0b||+{`if`%0b1}=1=+(not+0)%0b||',1
0'||+!@<@%0bor+%7e%0b{a+1}=1>(not%0b{a%0b1}=1)+||',0
0'or+!@<@%0b||+not%0b{`if`%0b1}=1=%0b(!%0b{x%0b(select%0b1)}=1)%0b||',1
0'||+!@<@.+||%0b!~false<(not%0b0)+or',0
5%27+||+~%0b{`if`+1}=1=+(not%0b0)%0bor%270,1
1+||%0b!%0b1<(%7e+{x%0b(select%0b1)}=1)--+,0
0'or+!@<@%0b||%0bnot+1%3C(%7e+{x%0b(select+1)}=1)%0b||',0
4%27%0bor%0b!%0b{x+(select+1)}=1<(!%0b0)%0b||%270,0
0%0bor+not%0b{`if`%0b1}=1=+(!%7e0)--+,1
0'<@=1+or%0b!+1%3C(~%0b{x+(select+1)}=1)+or',0
0%27or+@<@%0bor+%7e+0>(!+{x%0b(select%0b1)}=1)+or%27,0
0%27||+!@<@%0bor%0b!+{x+(select+1)}=1%3C({x+(select%0b1)}=1)%0b||%27,0
0%27<@!=1.%0bor+%7e+{`if`+1}=1=%0b(%7e+0)--+,1
0%27or%0b@<@+or+0%3C(!%0bfalse)%0bor%27,1
0'<@!=.1+||%0bnot+{x+(select+1)}=1<(~%0bfalse)%0bor',0
0%27<@=1.+or+!+{x%0b(select+1)}=1=+(!%0b{x+(select+1)}=1)%23,1
0%27<@!=.1+||+not%0b{x+(select+1)}=1<(true)%0b||%27,1
2+||+{`if`%0b1}=1-(not+{x+(select+1)}=1)%23,1
0'or+@<@+or%0b%7e%0b{a+1}=1-(not+{x%0b(select+1)}=1)%0bor',0
4%27%0bor+~+{x%0b(select+1)}=1-(!%0b{x+(select%0b1)}=1)+||%270,1
0'<@=1+or%0b!+{a+1}=1<(~%0b{`if`+1}=1)+||',1
0%27||+@<@.%0b||%0bnot%0b0-(not~false)+or%27,1
2%0b||%0bnot+{`if`+1}=1%3C(~%0b{x+(select%0b1)}=1)%23,1
0%27%0bor%0b~+{x+(select+1)}=1>(not%7efalse)%0bor%270,0
0'or+1<@.+||+{x+(select%0b1)}=1-(!%0b{`if`%0b1}=1)%0b||',1
0'<@!=.1+||+%7e+true-(not%0b{x%0b(select+1)}=1)--%0b,1
0%27||+1<@.+or%0b!%0b{a%0b1}=1%3C(~+{a%0b1}=1)+||%27,1
0%27||+@<@.+||+not%0b{`if`+1}=1=%0b(not~false)+or%27,1
0'<@=1.+or+%7e+{`if`%0b1}=1>(not+{a%0b1}=1)+or',1
0'or%0b@<@%0bor+!%0bfalse>(not+true)+||',0
1%0b||+%7e%0b{x+(select+1)}=1=%0b(!%0bfalse)%23,1
0%27||%0b@<@.%0bor+%7e%0b{`if`+1}=1=+(~%0b{a+1}=1)%0b||%27,1
4%27%0b||%0b!+{a%0b1}=1=%0b(not%0b{a+1}=1)%0bor%270,1
0%27<@!=1.+||%0b!%7e0=+(!+{x%0b(select%0b1)}=1)+||%27,1
0%27||+@<@.+||+%7e%0b{x+(select+1)}=1-(!%0btrue)+or%27,1
0'<@=1%0bor%0b%7e%0b{a%0b1}=1>(!+1)--+,1
0'or+!@<@.+||+not+1=+(!%0b1)%0b||',1
0'||+1<@.+||+not%7e0=+(not%0b{x+(select+1)}=1)+or',1
1%0b||%0b~%0b{a%0b1}=1-(not%0b{x+(select+1)}=1)+,1
0'<@!=1.+or+!+{x+(select%0b1)}=1<(%7e+1)+||',0
0%27or%0b1<@.%0b||%0b~+{`if`%0b1}=1=+(~%0b{`if`+1}=1)+or%27,1
0%27or+!@<@+or%0bnot+{a%0b1}=1%3C(~+{`if`+1}=1)+||%27,0
5'%0bor%0b!+{x%0b(select+1)}=1%3C(~%0b{x+(select+1)}=1)+||'0,0
2+or%0b!%0b{a%0b1}=1=+(!+{x+(select+1)}=1)%23,0
2'+||%0b%7e%0b{x%0b(select%0b1)}=1=+(%7e%0b1)+||'0,0
0%27<@!=.1%0b||%0bnot%0btrue%0bis+false%0bor%27,1
7%27%0b||%0b%7e%0bfalse>(not%0b1)+or%270,0
0'||+1<@%0b||+{x%0b(select+1)}=1>(!%7efalse)+||',1
0'<@!=.1%0b||%0b!+{x%0b(select+1)}=1%3C(%7e+{a%0b1}=1)%0b||',1
0%27or%0b!@<@.+||%0b{x%0b(select%0b1)}=1=+(%7e%0b0)%0b||%27,1
0'<@=.1%0b||+~%0b{x%0b(select+1)}=1=%0b(~%0b0)%0bor',1
0%27||+1<@.%0b||%0b%7e%0b{x%0b(select+1)}=1>(not%0btrue)+or%27,1
0%27or%0b@<@+or%0b%7e+{a%0b1}=1>(not%0b{x%0b(select+1)}=1)%0b||%27,0
0'||+!@<@+or%0b~+{x+(select+1)}=1>(!%0btrue)%0b||',0
0'or%0b@<@.+||%0b{x%0b(select%0b1)}=1%0blike+true+||',1
7%27%0bor%0b~%0b0-(!%0b1)+or%270,1
0%27or+!@<@+or+not+{x+(select+1)}=1=+(!~0)+or%27,0
8'+||%0b~%0b{x%0b(select%0b1)}=1=+(not+0)+||'0,1
5+or+~+{x+(select%0b1)}=1>(!%7e0)--%0b,0
6'+or%0bnot+{x+(select+1)}=1%3C({x+(select+1)}=1)%0bor'0,0
0'or%0b1<@%0b||%0b!+{x%0b(select%0b1)}=1%3C(%7e%0b{x+(select%0b1)}=1)%0b||',0
0'or+@<@+or+not%0b{x%0b(select+1)}=1<(!%0bfalse)+||',0
0%27or%0b!@<@.+||%0b!%0b{x+(select+1)}=1<(true)%0bor%27,1
0%27||+@<@.%0b||+~%0b{a%0b1}=1=+(~+{`if`%0b1}=1)+or%27,1
0'||+1<@%0bor+!+{x+(select+1)}=1<(~+{a+1}=1)%0b||',0
0%27<@!=1%0bor+not%0b{`if`+1}=1%3C(~+{`if`%0b1}=1)%0bor%27,1
0'||%0b@<@.%0b||+~%0bfalse=+({a%0b1}=1)+or',1
0%27<@!=1+||%0b%7e%0b0=+(~+true)%0bor%27,1
0'or+1<@+||%0bnot+{a%0b1}=1%3C(%7e+{x%0b(select%0b1)}=1)+||',0
1%27+or%0b{x%0b(select+1)}=1=+(~+false)%0b||%270,1
0'or+@<@%0b||%0b!%0btrue%3C(~%0b{`if`%0b1}=1)%0bor',0
0'||%0b1<@.+||%0b~%0b{x%0b(select+1)}=1-(not%0b{a%0b1}=1)+or',1
0'<@!=1.+or+%7e+false=%0b(~%0b{a+1}=1)--+,1
0%27||+1<@%0b||%0bnot+{x+(select+1)}=1%3C(~%0b1)+||%27,0
0'||%0b!@<@.%0bor%0b%7e%0b{x%0b(select+1)}=1-(!%7e0)%0bor',1
0'||%0b!@<@.%0b||%0bnot%0btrue=+(not~false)+or',1
0'||+1<@.+or+not+true=%0b(!+1)+||',1
5%27+||%0b!+0=+(~+{x+(select%0b1)}=1)%0b||%270,0
5+or+~%0b{`if`%0b1}=1=+(~+{x+(select%0b1)}=1)+,1
0'or%0b!@<@.%0bor+not+0>(!+{a+1}=1)+or',1
0'||%0b@<@.+||+not+{x+(select+1)}=1<({a+1}=1)%0bor',1
4%0bor%0b~%0b1=+(~%0b{x+(select%0b1)}=1)%0b,1
0%27or+@<@.%0bor%0bnot%0b{x%0b(select%0b1)}=1%3C(%7e+{x+(select+1)}=1)+||%27,1
0'<@=1.+or%0b{x%0b(select+1)}=1=+(~%0b{a%0b1}=1)+or',1
3'%0bor+%7e%0b{x%0b(select%0b1)}=1-(not+{`if`+1}=1)%0b||'0,1
8'%0bor%0b{x+(select%0b1)}=1-(!~false)+or'0,1
9%0b||+!%0b{`if`+1}=1=%0b(!+{x+(select+1)}=1)%0b,1
0%27||+@<@.+||+{x+(select%0b1)}=1+like+{`if`+1}=1%0b||%27,1
0'or%0b1<@%0b||%0b~+1=%0b(~+{a%0b1}=1)%0bor',1
0%27%0bor%0b%7e+false=%0b(!+false)+||%270,1
9'+or+~%0b{a%0b1}=1=%0b({x+(select%0b1)}=1)%0b||'0,0
0%27<@!=1.%0bor+{x%0b(select%0b1)}=1%0blike%0b{a+1}=1--+,1
0%27<@=.1+or+~%0b{`if`+1}=1-(not%0b{x%0b(select+1)}=1)%0b||%27,1
